artistName,tags,hoursPlayed
10cc,"classic rock, rock, 70s, british, pop",1.2931980555555556
Maroon 5,"pop rock, rock, pop, alternative, alternative rock",1.2904941666666667
Rita Ora,"pop, dance, female vocalists, rnb, british",1.2742616666666666
ZAYN,"pop, rnb, british, male vocalists, sexy",1.265826388888889
Peter Gabriel,"progressive rock, rock, singer-songwriter, classic rock, pop",1.2476625
Fugees,"hip-hop, rap, soul, rnb, hip hop",1.2378972222222222
Byzantion,"byzantine, religious, choir, chant, romanian",1.2356997222222221
Shawn Mendes,"pop, canadian, folk, male vocalists, acoustic",1.2194958333333332
Mark Ronson,"funk, british, pop, hip-hop, dj",1.207485
d4vd,"pop, rnb, dream pop, rock, indie pop",1.1865455555555555
Crowded House,"rock, pop, 80s, australian, new zealand",1.1842691666666667
Dua Lipa,"pop, synthpop, electropop, british, female vocalists",1.172136111111111
The Cranberries,"rock, alternative, alternative rock, female vocalists, irish",1.1628752777777778
Alicia Keys,"soul, rnb, female vocalists, pop, singer-songwriter",1.157538611111111
The Goo Goo Dolls,"rock, alternative rock, alternative, 90s, pop",1.1491994444444444
Spandau Ballet,"new wave, 80s, pop, new romantic, british",1.1415241666666667
Metallica,"thrash metal, heavy metal, metal, hard rock, rock",1.1383966666666667
beabadoobee,"indie pop, indie rock, indie, bedroom pop, dream pop",1.1169280555555556
Lord Huron,"folk, psychedelic, indie, indie pop, indie folk",1.1122661111111112
Nessa Barrett,"pop, my top songs, electronic, electropop, pop rock",1.108335
Black Eyed Peas,"hip-hop, pop, rnb, rap, hip hop",1.105793611111111
Bee Gees,"disco, pop, 70s, classic rock, oldies",1.0822352777777777
Vincemp3,"indie, alternative, alternative rock, indie rock, incelcore",1.0700133333333333
Bosquito,"latino, rock, male vocalists, romanian, powerful",1.0341986111111112
SYML,"indie, pop, indie pop, dream pop, my top songs",1.0300113888888889
SZA,"rnb, soul, alternative rnb, electronic, neo-soul",1.0217191666666667
Clairo,"bedroom pop, indie pop, dream pop, lo-fi, pop",1.0036175
salvia palth,"lo-fi, slowcore, dream pop, shoegaze, indie",1.001948611111111
Current Joys,"indie, indie pop, indie rock, dream pop, lo-fi",0.9855352777777778
