artistName,tags,hoursPlayed
Maruja,"post-punk, post-rock, art rock, art punk, crank wave",0.7405577777777778
Muse,"alternative rock, rock, progressive rock, alternative, indie",0.7403797222222223
DJ FKU,"edm, baile funk, brazilian funk, funk brasileiro, funk mandelao",0.7375813888888889
Yves Tumor,"neo-psychedelia, ambient, experimental, hypnagogic pop, art rock",0.7370197222222222
Tiffi M,"cloud rock, experimental",0.735835
DM DOKURO,"chiptune, breakcore, electronic, video game music, breakbit",0.7229688888888889
Tessa Violet,"indie pop, pop, indie, american, aesthetic",0.7124005555555556
Lyn Lapid,"pop, indie pop, dream pop, singer-songwriter, indie",0.7079883333333333
Dreva Sleep,,0.6638905555555555
Kamixlo,"grime, deconstructed club, electronic, reggaeton, post-industrial",0.6630619444444444
Şebnem Ferah,"turkish rock, rock, female vocalists, turkish, alternative",0.6592191666666667
GloRilla,"rap, hip-hop, trap, hip hop, memphis",0.6579044444444444
Nosgov,"digicore, cloud rap, emo rap, trap, hyperpop",0.63789
Lovesliescrushing,"shoegaze, ambient, dream pop, experimental, ethereal",0.6368980555555556
KIDS SEE GHOSTS,"hip-hop, rap, hip hop, experimental hip hop, pop rap",0.6309527777777778
Crystal Castles,"electronic, 8-bit, new rave, electro, electronica",0.6086197222222223
Nirvana,"grunge, rock, alternative rock, alternative, 90s",0.6005666666666667
Lucy Bedroque,"digicore, indietronica, cloud rap, art pop, trap",0.5901836111111111
black midi,"math rock, noise rock, post-punk, crank wave, progressive rock",0.5788513888888889
Felix Lee,"cloud rap, hip hop, ambient pop, bass, hypnotic",0.5787975
Avenged Sevenfold,"metalcore, hard rock, metal, hardcore, rock",0.5673036111111112
Videoclub,"french, indie, synthpop, france, post-punk",0.5611244444444444
Pentagrvm,"argentina, southern hip hop, emo rap, trap, cloud rap",0.5538725
Marjorie -W.C. Sinclair,"detroit trap, cloud rap, experimental hip hop, based, reptilian club boyz",0.5524219444444445
Frou Frou,"electronic, female vocalists, indie, alternative, electronica",0.5493452777777778
Jean Dawson,"indie pop, experimental, rap, alternative, alternative rnb",0.5485411111111111
SEATBELTS,"jazz, blues, soundtrack, japanese, anime",0.5413486111111111
Ethereal,"black metal, goa, goa trance, rap, cloud rap",0.5310927777777777
Nightmargin,"ambient, soundtrack, ost, video game music, video game",0.5306108333333334
Whitearmor,"cloud rap, ambient, new age, rap, drain gang",0.5298086111111111
Anıl Emre Daldal,turkish,0.5296183333333333
MARINA,"pop, female vocalists, indie pop, post-hardcore, polish",0.5260675
YoungBoy Never Broke Again,"rap, trap, hip-hop, louisiana, gangsta rap",0.5244480555555555
Smoke City,"trip-hop, chillout, downtempo, electronic, female vocalists",0.5109397222222222
Nine Inch Nails,"industrial, industrial rock, electronic, alternative, rock",0.5048891666666667
smokedope2016,"cloud rap, drill, emo rap, trap, wave",0.5014347222222222
Deftones,"nu metal, alternative, metal, alternative rock, alternative metal",0.49339083333333333
Lil Baby,"rap, hip-hop, hip hop, trap, atlanta",0.49121444444444445
3versince,,0.48675861111111113
Cartier God,"cloud rap, trap, experimental hip hop, southern hip hop, plugg",0.4735575
Big Black,"noise rock, post-punk, punk, post-hardcore, hardcore",0.4701775
Gwen Stefani,"pop, female vocalists, dance, rock, alternative",0.46855694444444446
Pixies,"alternative rock, alternative, indie, indie rock, rock",0.4676622222222222
Xylaris,,0.4664566666666667
ian,"trap, rap, ass, heavy metal, plugg",0.46095444444444444
A Flock Of Seagulls,"new wave, synthpop, 80s, new romantic, pop",0.4441977777777778
Sattas,"reggae, roots reggae, turkish reggae, dub, blues",0.4416130555555556
LUCKI,"pop, dance, lucki, swedish, trap",0.43562416666666665
Pink Floyd,"progressive rock, psychedelic rock, classic rock, rock, psychedelic",0.42654305555555555
Gunna,"rap, trap, hip-hop, hip hop, atlanta",0.42344944444444443
MIMIDEATH,"breakcore, plunderphonics, jungle, hyperpop, drum and bass",0.41597972222222224
Kero Kero Bonito,"electropop, pop, synthpop, noise pop, indie pop",0.41505194444444443
aldn,"hyperpop, electronic, digicore, pop rap, slowsilver03",0.4016252777777778
Le Tigre,"electronic, indie, riot grrrl, female vocalists, alternative",0.39696944444444443
